Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
2102,Tantalus           ,240000,JPL#16  ,12/27/2038,0.0444,33.43
4015,Wilson-Harrington  ,240000,JPL#19  ,10/31/2039,0.1083,12.13
1620,Geographos         ,2000000,JPL#65  ,03-12-2040,0.1136,13.74
7822,1991 CS            ,380000,JPL#08  ,09-01-2040,0.0641,19.12
,1990 OS            ,25000,JPL#07  ,09-03-2040,0.0696,8.15
2201,Oljato             ,55000,JPL#17  ,12/16/2040,0.0999,23.28
6239,Minos              ,190000,JPL#08  ,02-04-2041,0.0891,10.44
7822,1991 CS            ,2900000,JPL#08  ,2/22/2041,0.1704,18.62
6037,1988 EG            ,2400000,JPL#21  ,2/27/2041,0.0244,15.02
,1996 JG            ,1200000,JPL#11  ,5/18/2042,0.105,23.23
,1999 RQ36          ,850000,JPL#31  ,02-09-2043,0.0965,4.3
5604,1992 FE            ,73000,JPL#06  ,2/24/2043,0.0541,10.76
1566,Icarus             ,1100000,JPL#29  ,6/13/2043,0.0586,27.71
2101,Adonis             ,240000,JPL#12  ,7/16/2043,0.1492,20.41
4581,Asclepius          ,66000,JPL#04  ,8/16/2043,0.1331,14.29
2201,Oljato             ,39000,JPL#17  ,5/30/2044,0.1289,16.52
4581,Asclepius          ,71000,JPL#04  ,8/24/2044,0.0881,8.5
3362,Khufu              ,75000,JPL#06  ,8/24/2044,0.1117,18.44
11500,1989 UR            ,440000,JPL#18  ,11/28/2044,0.1343,8.55
5604,1992 FE            ,79000,JPL#06  ,6/17/2045,0.1392,15.89
7753,1988 XB            ,200000,JPL#06  ,07-06-2045,0.0883,11.01
3362,Khufu              ,82000,JPL#06  ,8/22/2045,0.0211,15.72
2340,Hathor             ,110000,JPL#10  ,10/21/2045,0.0242,12.59
6489,Golevka            ,1300000,JPL#54  ,5/14/2046,0.0508,13.41
3362,Khufu              ,93000,JPL#06  ,8/20/2046,0.0707,13.32
4769,Castalia           ,790000,JPL#19  ,8/26/2046,0.0251,14.72
5189,1990 UQ            ,95000,JPL#04  ,10-01-2046,0.1091,15.68
